Title,Keywords,Observation,Scoping,Needs Statement,State of Art,Solution,Solution Category,Literature,Acknowledgement 
Smart Note: NLP to reduce patient and physician frustration and improve communication and EHR documentation,"Natural Language Programming, NLP, Electronic Health Record, HER, stroke",Stroke patients need to repeat their stories multiple times to both their initial providers and the specialists. This causes frustration. Poor communication between the initial providers and specialists were also observed. 795k/year strokes; EMR allows communication of large amounts of data but may reduce provider-provider face to face communication;,Diagnosis and Treatment,"A way to imporve accuracy and efficiency of patient-provider and provider-provider communication in patients, primary team providers and specialty providers in order to improve efficiency of patient care and reduce patient frustration in the care process",Expanded need: work with existing system; HIPAA compliant; Consistency; Providing timely orders to right person; Access for all team members,Smart Note: AI intervention;AI mines patient's histroy from EMR; AI updates the notes with additional information as the patient shares notes; When patient and provider are speaking AI picks up key points and autopopulates others from history, Data Driven,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4030393/
Provider-to-Provider Electronic Communication in the Era of Meaningful Use: A Review of the Evidence
Not a lot of evidence or studies focusing on provider-provider communication; future area for research
EMR creates “false confidence” in situations and may decrease provider-provider face to face or verbal communication
EMR allows for communication of large amounts of data
https://www.chiefhealthcareexecutive.com/view/how-to-align-provider-to-provider-communication-across-the-care-continuum-david-hoover
How to align provider-to-provider communication across the care continuum | David Hoover
Criteria for P2P communication platform: Work with existing system; HIPAA compliant; Consistency; Providing timely orders to right person; Access for all team members
https://ehrintelligence.com/news/leveraging-provider-communication-for-better-care-coordination Vanderbilt integrating EHR for communication; https://www.cdc.gov/stroke.facts.htm; https://blog.thesullivangroup.com/strategies-to-improve-provider-patient-communication; ",Sindhu Parupalli
LazBed,hospital bed; ,Pateint recovering from stroke in inpatient rehab was trying to reach for phone from hospital bed; knocked over water; maneuvering bedside tables difficult; Historically hospital beds have been designed to prioritize the ability to provide care to the patient; not the patient's comfort; Patients feel restricted and isolated;Providers unable to get patients in and out; 75% found ADLs painful ,Patient Comfort,A way to improve the ergonomic design of hospital beds in order to improve the ease of ADLs for >50% bedbound patients.,Adjustable bed segments,Design Framework: Compile a list of what is important for the patient in the order of importance: 1. Better access to personal belongings;2.  Easier to get in and out of bed; 3. Convenient way to access food and drink on demand; 3. Be able to access food and drink without body contortion; Others: reach and understand bed controls; A simple design of a table connected to bed.,Device,"https://www.medicalexpo.com/medical-manufacturer/intensive-care-bed-27831.html
https://www.researchgate.net/figure/Hospital-bed-with-auxiliary-functions-4_fig2_262894214
https://www.sciencedirect.com/science/article/pii/S000368702030209X; https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1471-6712.2001.1510106.x?casa_token=gQOEIkDxgSMAAAAA:PaRrTYzJA63WmIERr6rQfB_H3UvFM_fDEAnJ3TGd5UNYY_u1yEktpOUHKcFkbsE8jj8RuQA5WzYKVKcr;https://journals.sagepub.com/doi/full/10.1177/1064804618805570; https://journals.lww.com/jncqjournal/Fulltext/2015/07000/Role_of_Bed_Design_and_Head_of_Bed_Articulation_on.16.aspx; https://journals.sagepub.com/doi/pdf/10.1177/0018720819845746",Aksal Vashi
Aphasia Rapid Test Translator Tool (ART3),Aphasia; limited english proficiency (LEP); acquired neurogenic communication disorders (ACDs); speech to text,Patient who does not speak English; Required video interpreter; not able to assess patient's speech for neurogenic speech disorder;Aphasia: Approximately 23.6 million patients in US have limited English proficiency (LEP); LEPs have lower quality of life after stroke due to impaired post-stroke rehab.Interpreters not trained to detect acquired neurogenic communication disorders (ACGs),diagnosis,We need a way to better detect and monitor ACDs in patients with LEPs to improve post-stroke quality of life,Aphasia Rapid Test: 26 point scale assessment ;<3 minutes; debriefing before interpretting to some extent improves ACD detection;,Aphasia Rapid Test Translator tool: Questions asked in English translated to native language; patient's response translated back to English and scored by the provider; need Speech 2 text; neural machine translation; ,"App, translation","https://www.youtube.com/watch?v=qktnb2j4GxA
https://www.amazon.com/How-Perform-Neurologic-Exam-Spanish-ebook/dp/B006UMQJH0
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8850381/
https://svn.bmj.com/content/7/2/176
https://journals.sagepub.com/doi/full/10.1177/2374373518769008
https://www.heart.org/en/news/2018/10/11/interpreters-are-essential-part-of-care-for-stroke-patients-struggling-to-understand",Anessa Puskar
Glaucoma prevention in High Risk Hospitalized Patients,Glaucoma; tonometry; fundoscopy,Glaucoma affects 2.7 millinon; leading cause of irreversable blindness; in critical care more chances of Glaucoma; Glaucoma: build up of pressure within the organ; damage the optixc nerve; ,prevention/ screening,A way to reduce glaucoma incidence in high-risk hospitalized patients in order to prevent irreversible vision loss,Early treatment;,Improved screening and expedited treatment could reduce vision loss for undiagnosed glaucoma; Process change: protocol for thorough ocular exam in sedated patients; tonometry and fundoscopy; tonometry: interocular pressure measurement; fundal exam: directly looks at nerve. ,process change,"Screening for Glaucoma in Adults: Updated Evidence Report and Systematic Review for the US Preventive Services Task Force | Geriatrics | JAMA | JAMA Network
Handheld Optical Coherence Tomography During Sedation in Young Children With Optic Pathway Gliomas - PMC (nih.gov)
Eye care in the intensive care unit - PMC (nih.gov)
Epidemiology of Glaucoma: The Past, Present, and Predictions for the Future - PMC (nih.gov)
https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwj52erSg9X8AhX8k2oFHSVzAIEQFnoECBUQAQ&url=https%3A%2F%2Fuspreventiveservicestaskforce.org%2Fhome%2Fgetfilebytoken%2FN5p-_zPoFQTZTvZCooqrR8&usg=AOvVaw1F-fSAWnYFB46wx1eGx-6L
Acute angle closure glaucoma – A potential blind spot in critical care - PMC (nih.gov)
134-1563909689.pdf (bibliomed.org): Intraocular pressure changes in the intensive care unit: The effect of spontaneous respiration, mechanical ventilation, non-invasive CPAP and medical treatments",Eric Moran
Enhancing Patient Education for Secondary Stroke Prevention,Stroke; medication compliance; ,Stroke patient noncompliant with medicationl; second stroke highly likely after first few weeks of first stroke;,prevention,Need to increase medication compliance in patients with recent stroke in order to reduce stroke readmission rates,Patients are seen in stroke follow-up clinic within 6-8 weeks following stroke; this visit does not take place immediately; thus room for medication non compliance;Some solutions: supplementary test with images in discharge instructions; simplified information page; care transition intervention; ,"Pre-Exit Scanner: Tablet device at discharge will scan the patient's bracelet; the device would will pull up the patient's medication list; Quiz: Device will require patients to answer questions on medications; if patient is unsure, support team will call and clarify medication; Quiz modified for visual umpairment; sometimes quiz is for the family member; Quiz will ask identification of medication bottles",App/device,"[1] Ann Lage, APRN
[2] https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2656019/ 
[3]  https://bmjopenquality.bmj.com/content/10/3/e001419 
[4] https://blog.thesullivangroup.com/discharge-instructions-for-patients-best-practices 
[5] https://www.uptodate.com/contents/ischemic-stroke-treatment-beyond-the-basics 
",Radhika Duvvuri
Remote Neurological Exams,telehealth; remote stroke exam; video capture,"Patient's wife says patient is getting worse. Physical exam seems fine; a lttle slow and unbalanced in the right side. 16000 neurologists and 750k stroke patients a year, there is a shortage. 95% in urban and <1% in rural; Neuro exam consists of mental status, cranial nerve, motor, sensorty, reflex, which can be both subjective and objective measures. The reading can be different for different neurologists",screening/diagnosis,Need to provide a consistent objective measurement of traditionally subjective aspects of the physical exam in a remote setting,Some existing solutions for objective parts of the neuro exam: PyGaze: for gaze tracking; GaitPy: video captue of gait;Blender: neuromuscular evaluation,"Exam-o-phone: One stop shop of video capture with built-in open software capture that combines PyGaze, GaitPy, Blender and additional programs and compute NIH stroke scale. The neurologist at the hospital can then look through the results and triage the patients",App/device,"https://n.neurology.org/content/94/15_Supplement/727.abstract; https://www.ahajournals.org/doi/full/10.1161/STROKEAHA.107.501643; https://www.ahajournals.org/doi/10.1161/CIRCOUTCOMES.118.004973; https://openknowledge.worldbank.org/entities/publication/d9ea4992-3cc1-59e6-951f-511569bfa478; https://www.cdc.gov/stroke/facts.htm; https://pypi.org/project/gaitpy/; belnder.org;how to do motion capture in blender for free (Youtube), ",
DigiPuncture,lumbar puncture; ,"30 yr old female with persistent headaches undergoing lumbar puncture to determine pressure in the cerebro-spinal fluid; It is a complex process that requires puncturing in the spine, accessing CSF and diverting it into a manometer to evaluate pressure; There is increased stress involving this process among new providers; This correlates with increased pain among patients; 360,000 LP annually performed; High BMI patients need radiology assisted LPs",screening/diagnosis,Need to simplify lumbar punctures so that providers can divert attention to their patient's comfort and make space for new bedside advancements,IV infusion line with tape measure; Gwen gage tool; ultrasound guided lumbar puncture,"Digi-Puncture: A manometer/pressure guage inbult within the needle. The needle has a Antechamber, which will be filled with the provider retracts the stylet. Pressure will be measured in the antechamber and then CSF will be drained from there by pullin the guidewire. Pressure gauage selection is crucial for this application. ",device,https://www.youtube.com/watch?v=xdDKW_pas0w; https://journals.sagepub.com/doi/10.1177/2050312119871066; https://n.neurology.org/content/90/21/981; https://link.springer.com/article/10.1007/s11606-016-3981-y; https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0208622; https://www.ajnr.org/content/42/6/1174; https://www.sciencedirect.com/science/article/pii/S0140673617324510?via%3Dihub; https://surgicalneurologyint.com/surgicalint-articles/success-rate-of-elective-lumbar-puncture-at-a-major-melbourne-neurology-unit/; http://www.samj.org.za/index.php/samj/article/view/12434; https://studiogwengage.com/projects/lumbar-puncture-tool; https://innovations.bmj.com/content/8/4/307,Priya Shankarappa
Better Mental Status Exam,"Traumatic Brain Injury, TBI",Patients with TBI and stroke as they recover need to access how their cognition is changing/progressing/healing. Patients are usually subject to SLUMS exam. One particlualr patient's taste in video-games that require cognition changed ,progress/recovery,Need a way to make a good assessment of higher order mental status of patients suffering from traumatic brain injuries and alzhiemers in order to provide better metrics of recovery,keep a journal; Digital Neuropsychological assessment; video game for training of upper extremity function in children with cerebral palsy,"Use of video games to see how patients were doing and journaling how they were progressing at cognitive skills. Brain games on smartphones like minesweepers, solitaire, soduku, brain teasers, trivia, call of duty played over the course of recovery.",app/gaming,"https://content.iospress.com/articles/journal-of-alzheimers-disease/jad210513; https://www.ajpmonline.org/article/S0749-3797(12)00172-9/fulltext; https://www.liebertpub.com/doi/10.1089/cpb.2007.0014;""Playstation eyetoy games"" improve upper extremity-related motor functioning in subacute stroke: a randomized controlled clinical trial
Yavuzer, G; Senel, A; Atay, M B; Stam, H J.? European Journal of Physical and Rehabilitation Medicine; Turin Vol. 44, Iss. 3,  (Sep 2008): 237-244.",Adam Sonnenberg
EEG Coreference Resolution,Epilepsy; EEG,"EMU patients are continuously monitored using EEG from days to week; Abnormal brain signals are of interest; but the abnormal signals could be due to multiple clinical factors not epilepsy related. These confounding factors must be clarified with the patient; these notes can also be found in the EHR, but need to be mined.",screening/diagnosis,Need a way to obtain relevant information of health conditions in EMU patients with abnormal brain signals to determine confounding factors that can affect the EEG signals,keyword based search in Epic is avialable as opposed to conceptual; not possible to ask broad questions to retreive relevant information,"Deep learning based semantic information retrieval; The major innovation is the development of large language model-based AI system which can perform zero-shot classification on medical records to extract pertinent information; When abnormal EEG signals are found, allow physicians to interact with the record in a QA format to surface relevant information. ",data driven/ app,"[0] Whissell, John S., and Charles LA Clarke. ""Improving document clustering using Okapi BM25 feature weighting."" Information retrieval 14.5 (2011): 466-487.
[1] Palangi, Hamid, et al. ""Semantic modelling with long-short-term memory for information retrieval."" arXiv preprint arXiv:1412.6629 (2014).
[2] Brown, Tom, et al. ""Language models are few-shot learners."" Advances in neural information processing systems 33 (2020): 1877-1901.",Sam Rawal
Water Monitor,Older Adults; Dimentia; Fall Detection,"Older adults who are susseptable to falls who live alone sometimes are unable to get up and thus are prone to stay put until someone finds them; Similar for dimentia patients as well; 1/4 of seniors fall every year; 1/5 of falls cause serious injury;2/3 of falls occur in the bathroom; Falls lead to dehydration->death. 60% of people with dimentia wonder. After 72 hrs of wandering if they are still not found, then their survival rate reduces to 20%",detection,Need a way to monitor the status such as falls in older adults who'd like to be autonomous so that caregivers and family can be quickly informed ,apple watch; life alert; GPS trackers; These are expensive and suffer from low adoption rates.,Non invasive monitoring that will not interfere with privacy or providing constant reminders of risk/disease; identify if patient has been away or immobile. Water monitor; If there is no water usage or continuous wate usage for 24 hrs then it will alert family members/ EMS,device,"https://www.cdc.gov/falls/facts.html
https://www.cdc.gov/injury/features/older-adult-falls/index.html
https://injuryfacts.nsc.org/home-and-community/safety-topics/older-adult-falls/
https://www.who.int/news-room/fact-sheets/detail/falls
https://www.nia.nih.gov/health/falls-and-fractures-older-adults-causes-and-prevention
Vaishya R, Vaish A. Falls in Older Adults are Serious. Indian J Orthop. 2020 Jan 24;54(1):69-74. doi: 10.1007/s43465-019-00037-x. PMID: 32257019; PMCID: PMC7093636.
Appeadu MK, Bordoni B. Falls and Fall Prevention In The Elderly. [Updated 2022 Feb 22]. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2022 Jan-. Available from: https://www.ncbi.nlm.nih.gov/books/NBK560761/",Devan Govan
DysarthrAI: Automated Dysarthria Detection,Dysarthria,"44 yr male with left sided facial droop and weakness; poor dentition in neuro exam; NIH stroke scale 14; severe dysarthria; Dysarthria vs aphasia: Dysarthria is due to muscle weakness of the vocal apparatus, aphasia is speech difficulty due to damage of brain that controls language expression and comprehension; Aphasia is category 9 in NIH scale and dysarthria is scale 10; 8-60% of stroke patients have dysarthria; speech therapists is 200-250$ per hour",screening/diagnosis,There is a need for a better way to detect and track dysarthria in stroke patients in order to improve clinical outcomes.,NIH stroke scale; patient asked to repeat certain common words; treated by a speech language pathologist; Multiple apps available: speech foot book for training. It does not provide real time feedback; can help with speech therapy,DysarthrAI: computer vision and facial motion tracking to provide accurate information on facial muscle movement; aids with diagnosis and tracking symptom resolution; A lot of existing tools on smartphones can be used.,app,"https://www.nihstrokescale.org/; Adams HP, Davis PH, Leira EC, et al. Baseline NIH Stroke Scale score strongly predicts outcome after stroke: A report of the Trial of Org 10172 in Acute Stroke Treatment (TOAST). Neurology. 1999;53(1):126-131. doi:10.1212/wnl.53.1.126
 Meyer BC, Lyden PD. The Modified National Institutes of Health Stroke Scale (mNIHSS): Its Time Has Come. Int J Stroke. 2009;4(4):267-273. doi:10.1111/j.1747-4949.2009.00294.x
Lyden PD, Lu M, Levine SR, Brott TG, Broderick J, NINDS rtPA Stroke Study Group. A modified National Institutes of Health Stroke Scale for use in stroke clinical trials: preliminary reliability and validity. Stroke. 2001;32(6):1310-1317. doi:10.1161/01.str.32.6.1310
Ali M, Lyden P, Brady M. Aphasia and Dysarthria in Acute Stroke: Recovery and Functional Outcome. International Journal of Stroke. 2015;10(3):400-406. doi:10.1111/ijs.12067
Novel app to track and improve recovery for stroke survivors with aphasia. News-Medical.net. Published October 4, 2021. Accessed September 27, 2022. https://www.news-medical.net/news/20211004/Novel-app-to-track-and-improve-recovery-for-stroke-survivors-with-aphasia.aspx
https://pubs.asha.org/doi/10.1044/2015_JSLHR-S-13-0221",Andres Gould
prolonging Independence in Alzheimer's disease patients,Alzheimers ,"Cognitive decline with old age for patients with Alzhiemers may require them to move into an assistive living facility;Alzhiemers accounts for 60-80% of dimentia; 5-8 millinon in the US; Symptoms: difficulty remmbering newly learned info, memory loss, space time confusion, withdrawing from social activities",assistance,There is a need to prolong Alzhiemer's disease patients' independence in order to improve their quality of life,Several apps to track the patient: LIFE360 to track patients; smart stoves and smartlocks controled by wifi; research at the McKechnie Family LIFE homes,"The Ultimate Incorporate current solutions and new ones into one single app; app tracks location from cell phone; medication from sensors from bottles; motion tracker to track patient mobility; smart stoves, locks and refridgerators; caregivers may be able to turn off/on devices from the app. Notifications will be sent to the patient's phone; Cons: patient may not be completely independent, dependent on wifi",app,"https://www.visitingangels.com/barrington/articles/technology-and-gadgets-that-make-life-easier-for-dementia-patients-and-their-caregivers/14417
https://www.thewellnews.com/technology/smart-home-in-illinois-serves-as-test-site-for-new-health-products/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6748161/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8387885/",Anila Mehta
